COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,9/10/2023,21380666,18015551,54.923,46.279,17235715,44.275,,2/22/2021,11,2289844,5.882
Albania,ALB,EURO,REPORTING,5/14/2023,3080679,1348396,107,47.234,1277987,44.768,,1/13/2021,6,399190,13.984
Algeria,DZA,AFRO,REPORTING,9/4/2022,15267442,7840131,34.817,17.879,6481186,14.78,,1/30/2021,4,575651,1.313
American Samoa,ASM,WPRO,REPORTING,3/29/2023,114706,46206,207.812,83.711,42479,76.959,,12/21/2020,3,24160,43.77
Andorra,AND,EURO,REPORTING,5/21/2023,157059,57912,203.3,73.275,53500,67.692,,1/20/2021,4,43068,54.493
Angola,AGO,AFRO,REPORTING,8/20/2023,26953525,16307216,82.01,49.617,9369882,28.509,,3/10/2021,1,2624931,7.987
Anguilla,AIA,AMRO,REPORTING,6/2/2023,24611,10854,164.051,72.35,10380,69.191,,2/5/2021,2,3046,20.304
Antigua and Barbuda,ATG,AMRO,REPORTING,6/2/2023,136512,64290,139.399,65.65,62384,63.703,,3/1/2021,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,10/7/2022,109652736,41324100,242.617,91.434,37840119,83.725,,12/29/2020,7,30810184,68.17
Armenia,ARM,EURO,REPORTING,6/4/2023,2158796,1122646,72.9,40.224,996804,35.715,,1/27/2021,10,45446,1.628
Aruba,ABW,AMRO,REPORTING,6/2/2023,216974,90449,203.224,84.717,84297,78.955,,2/17/2021,2,35659,33.399
Australia,AUS,WPRO,REPORTING,8/3/2023,68480571,22209605,268.552,87.097,21619793,84.784,,2/21/2021,5,14407326,56.5
Austria,AUT,EURO,REPORTING,6/11/2023,20402999,6899834,229.2,76.953,6682310,74.422,,12/30/2020,10,5405808,60.205
Azerbaijan,AZE,EURO,REPORTING,6/11/2023,13825256,5434679,136.4,52.697,4887727,47.394,,1/20/2021,5,3502852,33.965
Bahamas,BHS,AMRO,REPORTING,6/2/2023,366359,174810,93.163,44.453,166972,42.46,,3/14/2021,4,33717,8.574
Bahrain,BHR,EMRO,REPORTING,12/21/2022,3476633,1241174,204.319,72.943,1226796,72.098,,11/4/2020,11,1008663,59.278
Bangladesh,BGD,SEARO,REPORTING,6/25/2023,360177584,151379833,218.701,91.918,141208849,85.743,,1/27/2021,8,67588902,41.04
Barbados,BRB,AMRO,REPORTING,6/2/2023,381721,163846,132.83,57.015,155036,53.949,,1/8/2021,5,62839,21.867
Belarus,BLR,EURO,REPORTING,5/14/2023,21997703,6439812,232.8,67.234,6355081,66.35,,2/3/2021,5,5713720,59.654
Belgium,BEL,EURO,REPORTING,6/11/2023,29118547,9254386,252.7,79.658,9158159,78.83,,12/30/2020,4,7244723,62.36
Belize,BLZ,AMRO,REPORTING,6/2/2023,510770,258456,128.454,64.999,221408,55.682,,3/1/2021,5,50238,12.634
Benin,BEN,AFRO,REPORTING,12/18/2022,4232541,3697190,34.913,30.497,2742837,22.625,,3/29/2021,5,,
Bermuda,BMU,AMRO,REPORTING,6/2/2023,132042,48554,212.037,77.97,47657,76.529,,1/11/2021,3,31829,51.112
Bhutan,BTN,SEARO,REPORTING,10/30/2022,2011426,699116,260.68,90.605,677669,87.826,,3/27/2021,5,634641,82.249
